property_id,type,description,list_price,last_sold_price,sqft,stories,beds,baths,garage,zip_code,city
NY000001YT4G,multi_family,SOLD before print,157500,157500,2132,0,4,2,0,12182,Troy
NY000002UYQP,single_family,Sold Before Print,205000,205000,1946,0,4,4,2,12306,Rotterdam
NY000003B1MM,single_family,"An opportunity to own a piece of property with very desirable water frontage on Moody Pond. Located a stones throw from the base of Baker Mountain trailhead, and a very relaxing 1.1 mile loop around the pond for many recreational opportunities. A walk to town or the rail trail is only 5-10 minutes, yet the property feels pretty private and remote from the village center. The waterfront is level with a nice fire pit offering great fishing and wildlife watching opportunities. Home is in need of renovation. Original hardwood floors, an abundance of natural sunlight, and many enclosed porches with water and mountain views. This is a very nice triple lot with plenty of space for hobbies and enjoyment.",329000,305000,2637,2,4,3,2,12983,Saranac Lake
NY000004EFVJ,single_family,"Beautiful setting on 8 acres in Vermontville. This home has a wooded front entrance that offers privacy for this 4 bedroom 1.5 bath home. Sunny living room, with an additional bonus room affords extra space. Spacious kitchen/dining room combo. Spacious screened in porch off of the primary bedroom with an open backyard view. Large backyard with multiple options including a fire pit, swimming pool, and trampoline as additional pluses. Plenty of room to add more! Brand new heating system, hardwood flooring, and kitchen appliances. This home has unlimited potential and is a must see!",285000,290000,1800,2,4,2,0,12989,Vermontville
NY000005JLR0,single_family,"**Auction Property, the online sales event for this property begins on 05/10/2026 and ends on 05/12/2026. NO TRESSPASSING, DO NOT DISTURB OCCUPANTS** Charming 3-bedroom Old Style home set on a spacious 1.02-acre rural lot, offering privacy and plenty of outdoor potential. Built in 1949, this 1.5-story residence features 1,404 sq ft of living space with a functional layout, including a first-floor primary living area and additional upper-level space. The home includes a full basement, aluminum/vinyl exterior--ready for your personal touches. Enjoy country living with private water and sewer, a generous yard ideal for recreation, gardening, or future expansion, and low annual taxes. Conveniently located within the North Warren School District, this property offers a great opportunity for year-round living, a getaway retreat, or investment. Bring your vision and make this property your own!",1,74552,1404,0,3,1,0,12860,Pottersville
NY000006RAY6,single_family,"Beautifully appointed 4-bedroom, 2.5-bath expanded split-level home featuring an open and airy layout. The spacious eat-in kitchen offers new quartz countertops, a center island, and brand-new dishwasher and oven. The home also includes a formal dining room, a formal living room with a stunning stone wood-burning fireplace, a comfortable family room, and a charming office/den with walls of windows that fill the space with natural light. Hardwood floors run throughout. The primary suite features its own private bathroom and generous closet space. Three additional bedrooms share an absolutely gorgeous newly renovated stunning family bathroom with radiant heat floors. Additional highlights include an unfinished dry basement ideal for storage, new burner, new oil tank, new hot water heater, new central air conditioning, and a new washer and dryer. The home also includes a one-car garage and sits on a beautiful half-acre property that is fully fenced with a deck perfect for entertaining.",999000,999000,2200,2,4,3,1,11743,Huntington
NY000007CHJ3,single_family,"This Tudor-style home features three bedrooms, two full baths, and a formal dining room. The information provided is estimated to the best of [Redacted Entity] at his time.",454950,470000,1360,0,3,2,0,11413,Springfield Gardens
NY000008U1DJ,single_family,"Welcome to [Redacted Address]reet, a beautiful two-story corner brick townhouse located in the desirable Park Hill neighborhood of Staten Island -- with no HOA fees. This well-built home features 10-foot high ceilings and large windows throughout, filling the space with abundant natural light. The open floor plan creates a bright and inviting living and dining area, perfect for everyday living and entertaining. The first floor offers a spacious living room, coat closet, half bathroom, kitchen, storage closet, and direct access to a private enclosed backyard. Enjoy the convenience of a front carport, side yard, and outdoor space rarely found in townhouse living. The second floor features two generously sized bedrooms, a full bathroom with skylight, laundry area, and linen closet for added storage. Located close to transportation, shopping, and daily conveniences, this home offers an easy commute to Brooklyn and Manhattan, with nearby express bus lines and easy access to the Staten Island Ferry terminal. A wonderful opportunity to own a bright corner townhouse with private outdoor space -- and no HOA fees -- in a convenient Staten Island location. Don't miss this beautiful home!",530000,525000,900,2,2,2,0,10304,Staten Island
NY0000095RRN,single_family,"Steeped in history and timeless sophistication, this extraordinary 1889 Center Hall Colonial is a rare offering, gracefully set on a prominent corner lot within one of Johnstown's most admired neighborhoods. Originally built during the Victorian era and thoughtfully transformed in the 1930s, the residence beautifully balances architectural grandeur with enduring comfort. Original blueprints remain with the home, offering a remarkable connection to its storied past. A charming entry vestibule opens to an impressive center hall where a grand staircase, leaded glass window, and classic French doors introduce the elegance carried throughout the home. Designed for both refined entertaining and everyday living, the main level features a formal living room with fireplace, a gracious dining room ideal for gatherings, and a richly detailed library complete with custom millwork and gas fireplace. A sunlit solarium with leaded glass creates a serene retreat, while the thoughtfully updated kitchen offers granite countertops, double ovens, ceiling-height cabinetry, and an inviting breakfast nook. Maple hardwood floors flow seamlessly throughout, enhancing the home's warmth and character. Upstairs, the second floor offers 4 spacious bedrooms, a bright corner office, and two well-appointed full baths accented by classic built-ins and architectural detail. The primary bedroom provides a peaceful escape with its own fireplace. A sunporch adds flexibility as a sitting room, studio, or convenient second-floor laundry area. The third floor offers 2 additional bedrooms, a full bath with a clawfoot tub, and access to a the attic with cedar closets. A full-height, dry basement provides exterior access, updated windows, utility sink, and abundant storage. Outside you will find beautifully curated grounds including slate, brick and stone patios, mature landscaping, vinyl fencing and a meticulously maintained 3 car garage.",524500,508000,3864,0,6,4,3,12095,Johnstown
NY000010IF7L,single_family,"Beautifully maintained and thoughtfully updated, this spacious 4-bedroom, 2.5-bath home offers the perfect blend of comfort and functionality. The main level features a desirable first-floor primary suite with a private deck, while upstairs you'll find three generously sized bedrooms. All bathrooms have been recently renovated, and the kitchen has been updated, offering modern convenience and style. Warm wood accents highlight the inviting family room, creating a cozy space to gather. Step outside to enjoy your own backyard retreat complete with an in-ground pool (2016), sprinkler system, and brand new Trex decking--perfect for entertaining or relaxing. Additional highlights include an oversized 3-car garage and a paved driveway. Conveniently located just minutes to I-87, this home offers both privacy and accessibility--an ideal setting for everyday living.",474900,548573,2450,0,4,3,3,12828,Fort Edward
